Minisector,ALO,NOR,Fastest
0,301.04494736128095,296.84434027015874,ALO
1,230.6516954019159,233.91417733685043,NOR
2,127.88922286953172,124.40211224352458,ALO
3,235.975832183296,241.38757759509429,NOR
4,194.10544624470435,193.28775289875225,ALO
5,244.08800194066026,249.74758350119018,NOR
6,230.9082035058128,237.6770482543619,NOR
7,258.5680701195765,259.075955722182,NOR
8,290.2361918781649,284.5139989153247,ALO
9,206.504999845152,215.85184907208907,NOR
10,210.00537632206348,203.7535140264388,ALO
11,271.92178831125915,270.1837114409331,ALO
12,209.4995970159997,222.7077768785663,NOR
13,256.1021951349184,250.00322452567983,ALO
14,292.80063391981423,290.4989951471786,ALO
15,307.43078953838506,305.20745046867177,ALO
16,304.050409063663,303.6407111629123,ALO
17,211.4562972049056,213.4057013569283,NOR
18,261.9881663508379,260.79905357093475,ALO
19,294.67954898031746,291.73820131943694,ALO
20,308.89315791949207,306.0792496079503,ALO
21,309.80015412714357,300.12513450742887,ALO
22,149.80585831349583,156.96008247093394,NOR
23,231.2912641671111,226.05861761594673,ALO
24,285.49477060016034,281.1172949739682,ALO
25,,293.6238245268816,NOR
