Minisector,PER,ZHO,Fastest
0,291.60918150949345,285.41167114848486,PER
1,300.5865312964265,294.44905525472063,PER
2,304.8270751079739,298.34288356923076,PER
3,298.78666549841273,294.8105368737866,PER
4,172.52955561634408,166.68033662634832,PER
5,207.19520802552609,199.36444111596248,PER
6,232.69006571439675,225.01387147470408,PER
7,264.98859931552,256.756945487756,PER
8,250.35924671311332,249.15352945973146,PER
9,162.02719425918607,159.34255703285714,PER
10,221.01664566239785,224.08448190049492,ZHO
11,130.43339817468458,128.66082126915757,PER
12,231.42410946367573,223.57372023458228,PER
13,178.5563274700529,178.166528935602,PER
14,215.15770791966386,210.0301774191544,PER
15,245.9847729648485,233.91114363705628,PER
16,264.1051917798942,256.20491931605795,PER
17,287.529709836555,279.19934632082163,PER
18,161.0813491619822,153.08011634455025,PER
19,171.36397378534588,160.71747745572966,PER
20,143.85369625305205,141.49195416124445,PER
21,232.1026758164671,223.85562566714086,PER
22,264.78838316103617,252.86482982399997,PER
23,247.7229894690909,237.88971386095236,PER
24,280.0940038460024,267.44115761002627,PER
25,,278.6,ZHO
