Minisector,RUS,PIA,Fastest
0,273.71855220242423,272.47528071217397,RUS
1,298.9434083347295,296.3522386825397,RUS
2,312.7405094874074,309.4643837962161,RUS
3,320.80829561606396,318.9001666346667,RUS
4,325.1520016664704,323.6995715311746,RUS
5,314.27453796857145,327.1017658514285,PIA
6,197.59131762962963,214.09882807404915,PIA
7,103.78216891407514,104.10304246346958,PIA
8,185.46409864749282,183.22607886628572,RUS
9,257.2914153936842,257.34902167987286,PIA
10,285.1441376923459,288.44955030944993,PIA
11,161.27591417626928,155.91794821418236,RUS
12,96.18541778051025,95.85918466106848,RUS
13,115.25923782578622,112.03069423696478,RUS
14,217.25947545301588,213.9511634266991,RUS
15,178.38420175205414,182.89110347371772,PIA
16,218.47119025066667,220.0827479005789,PIA
17,173.98666704190254,169.60053806888183,RUS
18,233.03823745990425,239.17557481781864,PIA
19,281.14280433203794,278.14443797557425,RUS
20,243.18287562874457,241.14718565015875,RUS
21,143.75699312275736,137.67686063950984,RUS
22,91.70737289750527,93.44639270032302,PIA
23,123.8650244685197,116.43993681339339,RUS
24,221.05158909090912,221.83885525405174,PIA
25,254.08571977142856,,RUS
