Minisector,NOR,RUS,Fastest
0,271.57187403741193,272.014822944903,RUS
1,287.60678117250245,289.03812139384416,RUS
2,295.419397952,293.30763691,NOR
3,128.56710142216315,122.39319860934786,NOR
4,192.22791240609732,196.60840051870755,RUS
5,247.6819180515222,254.99527361539714,RUS
6,134.46374036571427,142.02651767046584,RUS
7,206.22241060834767,203.4021225722964,NOR
8,257.66783782796676,257.5935510103258,NOR
9,278.893768368868,279.3702032597572,RUS
10,230.8208449197204,237.90740729795917,RUS
11,172.52365536983103,175.24581179513228,RUS
12,191.83877444752886,195.94251216412988,RUS
13,134.20898674105248,146.31460850130395,RUS
14,174.18853692315048,179.77843533776206,RUS
15,160.11776214697394,167.02079781790476,RUS
16,222.30989492894662,222.3036780376227,NOR
17,233.45731553686858,239.35879959619047,RUS
18,239.6619171496705,243.41447962078837,RUS
19,224.9546990125177,234.02638770539684,RUS
20,145.8923967439316,151.38185928669992,RUS
21,126.79786912994788,127.88501573921089,RUS
22,172.603178320112,168.25141710844855,NOR
23,154.28133458582695,156.63600058085217,RUS
24,230.8654268903896,230.67559726149662,NOR
25,256.9833344,255.9250048,NOR
