Minisector,ALO,HAM,Fastest
0,293.0069773371928,295.4402456915716,HAM
1,302.27758514781334,306.2372739349611,HAM
2,283.61384314805196,282.60126664840357,ALO
3,107.39538551425983,105.97158646210549,ALO
4,216.23740304212558,216.86536651097643,HAM
5,268.4374090727144,270.383339363456,HAM
6,210.34394730020202,219.2687533948718,HAM
7,158.85062010210817,154.8284534934757,ALO
8,205.5177236136073,203.32509699630916,ALO
9,218.23608989460317,213.9498137337228,ALO
10,111.44535749974469,112.18891222428464,HAM
11,227.06326542849035,224.2960994607266,ALO
12,112.50517530584742,113.90905579314786,HAM
13,208.5011818686984,211.62268283102043,HAM
14,280.8530401029864,269.6670938525118,ALO
15,213.47461207958202,218.98778848854255,HAM
16,191.95608668020867,188.34420737091918,ALO
17,250.37905886042327,249.83211225728087,ALO
18,189.917186751439,205.0806600181957,HAM
19,175.83710832669553,168.01526879281633,ALO
20,261.06107962758097,259.58405178432236,ALO
21,290.4767458613564,291.26285055552535,HAM
22,166.40794381795092,180.7994105081149,HAM
23,209.20367448380952,193.97289234827514,ALO
24,275.15442051288267,269.66561283076925,ALO
25,292.8687488,287.20666624,ALO
