Minisector,VER,TSU,Fastest
0,304.339996256,296.03729911688316,VER
1,159.4995307469398,152.7535665187779,VER
2,153.70715386563063,154.39004366183943,TSU
3,235.83322378239998,224.52570079655914,VER
4,286.41598924634303,283.95560449931435,VER
5,288.22979794882156,294.20344479758126,TSU
6,146.7138868581755,141.7393292851975,VER
7,148.78076848851046,141.64357864251377,VER
8,142.72791291714583,141.8883551884664,VER
9,190.45211395749686,175.3097910283315,VER
10,132.18976822323415,129.64410984186443,VER
11,126.6686788839247,124.5957645998551,VER
12,162.49698823548346,164.27377766027288,TSU
13,267.1637342741864,264.05391540040404,VER
14,297.7285651437037,290.4310987248485,VER
15,147.3001164038951,151.0848364598417,TSU
16,208.22362268743686,213.76075180412556,TSU
17,170.9528345027916,165.69439167125248,VER
18,271.85484984300143,269.4266416287095,VER
19,297.7031345801595,293.6130199636734,VER
20,312.38354255312794,307.5500058964502,VER
21,321.2037880193939,317.5666489055238,VER
22,325.9460606836364,320.67782413121694,VER
23,327.7113487157895,322.71033834586467,VER
24,328.3829561904762,323.7905487907354,VER
25,,321.0,TSU
