Minisector,HAM,RAI,Fastest
0,292.83731493901416,291.13267721904515,HAM
1,312.18196454857144,313.33020810666665,RAI
2,306.05241153657437,314.082630688091,RAI
3,180.51718063853133,182.4077384576871,RAI
4,228.69974093030015,219.86324642097182,HAM
5,205.82137736049083,197.6102708971724,HAM
6,192.95043267051065,184.2671537177489,HAM
7,220.0228447264368,209.1551187657143,HAM
8,263.522188027898,259.0303319111111,HAM
9,258.7739100126984,266.5180222542181,RAI
10,177.11991556879653,171.45596857657657,HAM
11,246.09479981226667,242.75980639091236,HAM
12,118.7596599985724,118.3252967254415,HAM
13,231.66172054229014,228.2816872119728,HAM
14,280.05714240000003,280.78879532235044,RAI
15,291.25812330256093,295.0536785386667,RAI
16,210.95825894930874,206.8239448282642,HAM
17,186.68739840069907,177.31167529971657,HAM
18,274.51003694545454,270.5864650199038,HAM
19,301.77013765090396,300.8496757338535,HAM
20,313.9406248,314.3946694380243,RAI
21,314.381547784127,314.87979178666666,RAI
22,272.6429847536232,263.8583483452513,HAM
23,118.33427417645011,116.94894317486026,HAM
24,244.48471699010082,241.67003125536428,HAM
25,278.27142765714285,277.6124992,HAM
