Minisector,HAD,ALB,Fastest
0,303.2036691014346,307.81669226832895,ALB
1,198.70778515216966,228.61515390327057,ALB
2,147.19650839313366,138.85782641503107,HAD
3,220.83779251313712,223.88308573930456,ALB
4,168.65743184003543,164.21981303285813,HAD
5,177.49527648877515,176.08847108783797,HAD
6,257.62146294528253,254.29256827200936,HAD
7,281.4229391845926,282.71114074016987,ALB
8,289.5377342374695,289.4573936690196,HAD
9,263.31567091450984,261.23836314939683,HAD
10,244.12427122238773,246.5680699665797,ALB
11,246.86866480772915,247.20639939047618,ALB
12,208.9165708984212,207.2144094339909,HAD
13,133.22716276631928,125.4952368704312,HAD
14,138.9099973297044,141.3091450624723,ALB
15,181.85727857820106,166.39834432068622,HAD
16,249.94386547032195,253.51081595275787,ALB
17,234.91602069892065,258.50621844257705,ALB
18,114.69871238414156,113.03684045815676,HAD
19,196.77134170817243,193.4755848819091,HAD
20,202.56332859066345,197.87804208510036,HAD
21,237.76227376931217,235.26604744710943,HAD
22,265.560864579612,274.7898041129929,ALB
23,286.59770696677816,297.8337220266667,ALB
24,297.9974217777778,314.2038459569231,ALB
25,,321.07291626666665,ALB
