Minisector,PIA,HAD,Fastest
0,289.47723614907164,287.6609683390899,PIA
1,308.0995516750849,304.05829753953935,PIA
2,312.6571850454257,300.26041106830996,PIA
3,198.34996541334158,203.72241385689293,HAD
4,237.72142249362074,236.54590795147166,PIA
5,224.14417080200718,223.9457533511111,PIA
6,206.57630466031745,207.24208763994417,HAD
7,235.06587472544172,232.83344417668937,PIA
8,272.53072966724386,269.3471033927828,PIA
9,275.75239845971606,268.07070980392155,PIA
10,173.70016285467787,180.10518937866124,HAD
11,240.13568168766963,235.33853965366254,PIA
12,116.8326461292658,120.217687460836,HAD
13,226.05191786385095,224.99842636555928,PIA
14,279.31322424110243,277.85389436449043,PIA
15,295.77067136296296,290.157638557135,PIA
16,216.56086385686285,213.71758065519836,PIA
17,190.34005029492735,190.9537465278788,HAD
18,269.42482806012123,268.1890563821708,PIA
19,296.18538760524507,293.7278634911111,PIA
20,308.0092924609529,304.7000846894686,PIA
21,307.9370623077469,304.6114105067771,PIA
22,282.2056207714091,273.2873449844733,PIA
23,116.95397142314462,121.85185466980452,HAD
24,243.3566529955267,248.3293535352396,HAD
25,276.0324589385367,,PIA
