Minisector,GAS,RUS,Fastest
0,271.02812565333335,270.58450916492916,GAS
1,287.56362214783144,290.07796853602423,RUS
2,295.0426891931793,295.15357124010023,RUS
3,133.95508682009483,123.52079298061538,GAS
4,200.45387647760313,194.46888737042445,GAS
5,258.01666732698413,252.07499671869132,GAS
6,151.35408740465772,136.68653164709588,GAS
7,204.97667608905445,203.09004967586537,GAS
8,258.04947632531685,257.358560522449,GAS
9,278.8114037894737,275.8602435560784,GAS
10,249.62644851014494,227.42008953650793,GAS
11,187.27542977996717,168.51810397404233,GAS
12,194.84273609881,190.08402490888545,GAS
13,156.3211464084656,139.74190322656386,GAS
14,185.58272883298105,179.04327920860214,GAS
15,169.25340548263222,160.91565036026378,GAS
16,218.5622854672824,217.11966685866668,GAS
17,242.76332023412263,227.9549203950829,GAS
18,243.08344268744588,234.81666671304347,GAS
19,250.9399324883613,223.4148927757503,GAS
20,146.8726856888889,143.764979736886,GAS
21,142.9485289293319,129.0500160022768,GAS
22,175.65827502474409,172.9254971439839,GAS
23,157.3555139136058,147.77282561398854,GAS
24,232.70687854035785,231.95422057419626,GAS
