Minisector,HAM,ALO,Fastest
0,305.1404513333333,298.76567464126987,HAM
1,289.7810588756849,281.17429769701823,HAM
2,181.50345331317496,178.1097464019147,HAM
3,205.21052862641505,199.0003944327421,HAM
4,228.63890562723893,220.22634074409638,HAM
5,268.7897953599224,264.9682997900763,HAM
6,238.0113113904762,232.8103840929568,HAM
7,213.04583195235213,209.58984363333334,HAM
8,169.0070472800993,168.47117958348645,HAM
9,178.9063566596491,167.73428931699723,HAM
10,184.2151117259941,182.60897599037892,HAM
11,209.7007844327246,197.20436210060035,HAM
12,241.50171096155046,183.72341397604356,HAM
13,172.35000761442308,173.25879969734768,ALO
14,249.76155035202822,252.56813407931506,ALO
15,277.17972740491524,272.74594111263355,HAM
16,264.26916740266665,260.1913867785298,HAM
17,250.15043418773433,251.61805972171828,ALO
18,244.13120938703906,255.08893745188837,ALO
19,244.08898883809525,239.17634156642796,HAM
20,258.6742525835326,264.7506717965326,ALO
21,189.21512852932224,181.2562937828502,HAM
22,224.73287535167955,238.92429726861732,ALO
23,279.08251414603177,278.3059598334396,HAM
24,297.8940396572221,293.0351192140351,HAM
25,303.25416640000003,,HAM
