Minisector,LEC,GRO,Fastest
0,311.8859382341931,307.7647937381812,LEC
1,240.28609259371024,233.24219515409473,LEC
2,133.50974953908616,137.65681878603087,GRO
3,225.38441222707985,221.40423463104005,LEC
4,267.79103108331174,265.91594745845003,LEC
5,291.65904592806777,288.6426266634629,LEC
6,306.2221090337144,302.806832109884,LEC
7,290.00179976162383,281.95859253333333,LEC
8,173.39669719187702,171.04949187094323,LEC
9,240.6365614927671,240.30632860104615,LEC
10,276.1907465753406,275.15400695864014,LEC
11,260.8148082106996,265.9667703983216,GRO
12,202.43673452449033,208.48437481212122,GRO
13,130.57750192680112,132.12067010214457,GRO
14,127.26257474296082,124.96586687745207,LEC
15,167.38334648246655,173.69986893199786,GRO
16,124.67018828933045,122.21186522153496,LEC
17,232.0606646764032,231.86794691047618,LEC
18,195.27424237540126,197.73076735888756,GRO
19,164.0464734686806,164.4848290541521,GRO
20,251.88575590702854,252.86228604554424,GRO
21,281.0984176440257,281.613281,GRO
22,295.94810497560746,296.00835750922425,GRO
23,305.7714446318447,304.3480627108957,LEC
24,309.5062497544626,307.630774273537,LEC
25,310.67083413333336,309.0,LEC
