Minisector,HAM,LEC,Fastest
0,311.4287035851852,309.7921296,HAM
1,238.84523398095237,233.2756047690807,HAM
2,136.77136368617246,130.9265816099562,HAM
3,220.70328900295917,216.81713777336805,HAM
4,264.64234607835715,264.98937551999995,LEC
5,290.7865199327731,297.3601814745833,LEC
6,301.5416391403249,318.31666800603796,LEC
7,283.21162487017546,287.6103052350877,LEC
8,179.14597415553226,177.94308008885727,HAM
9,242.38645114195012,237.80297233465993,HAM
10,271.2674531664722,275.57478107268173,LEC
11,260.1344590997494,271.8603058526316,LEC
12,209.6225281206707,212.0238846028091,LEC
13,127.53898313833815,129.30451593390367,LEC
14,128.25770561870797,120.51482856380197,HAM
15,161.14922021640746,158.80023059213957,HAM
16,127.14192532071772,126.68287791374857,HAM
17,233.30549445145667,228.42157219635592,HAM
18,183.6870655938056,185.93807260689655,LEC
19,165.3140739662932,156.54863099563457,HAM
20,250.7153419151515,244.1481611705628,HAM
21,279.96299568253966,276.12926469529367,HAM
22,298.0236767177346,292.0995056811639,HAM
23,315.083088627451,300.7166667789474,HAM
24,324.1308127398966,305.0627035205052,HAM
