Minisector,PER,HUL,Fastest
0,277.55383101809457,277.7659712888889,HUL
1,296.79318204675326,297.4413417993586,HUL
2,232.00846932204584,225.92428443218392,PER
3,128.23907338107662,125.97348679756229,PER
4,186.37350856906383,184.79255221329777,PER
5,118.26456936582092,120.76017936728347,HUL
6,214.16046634876847,206.7605057835686,PER
7,264.4948739937443,258.80690065857584,PER
8,175.69958699542101,178.462203832843,HUL
9,182.03058223399643,179.42388204004203,PER
10,266.97152693333334,264.5364123362319,PER
11,183.2438210705288,195.4227939234598,HUL
12,166.01662840877896,158.73333746803252,PER
13,259.54989710795485,258.4214159742194,PER
14,276.28260823188407,276.5077118873706,HUL
15,289.99346295924886,289.74273167251783,PER
16,201.26720626236562,203.95675395714287,HUL
17,198.8050090534627,185.15064406324578,PER
18,244.36048346373627,241.00617102222222,PER
19,285.86161592981716,285.1011009632163,PER
20,297.2760009489177,296.53982675670994,PER
21,204.0396124374947,211.22381681751682,HUL
22,146.37312024744895,140.58909109367804,PER
23,156.88745036250683,155.94435121151224,PER
24,227.4198381505754,223.24236135661974,PER
25,261.61250240000004,262.809127189409,HUL
