Minisector,RUS,ALO,Fastest
0,245.93359699453092,251.86989586666667,ALO
1,118.18871239948567,130.7751080082032,ALO
2,192.99530775862482,195.91033223426672,ALO
3,241.93690309198877,241.86728507844157,RUS
4,250.9053277862789,250.26217813333335,RUS
5,172.18044330763416,174.3078043007781,ALO
6,144.2674745498961,146.10403215472527,ALO
7,190.30769117994987,184.53891323996567,RUS
8,104.71453373704391,99.06596476513708,RUS
9,72.61809732914325,75.6299468905977,ALO
10,93.97841539954301,95.12160963598473,ALO
11,184.09354438655672,185.81740199639307,ALO
12,242.64314480527474,240.21648462666667,RUS
13,265.58525708698414,262.3539408511027,RUS
14,270.66425428280274,268.45751388571426,RUS
15,111.08217096303567,107.52701295254407,RUS
16,153.8758686738772,160.12850842004653,ALO
17,178.26917611388475,185.80246340787622,ALO
18,200.78267292683472,202.16509029378153,ALO
19,197.41749493243697,208.1843350970019,ALO
20,128.6337792416117,137.86156108575275,ALO
21,108.70547960126984,107.22274485371224,RUS
22,96.7428147976734,102.37310988922037,ALO
23,199.81420283284822,206.86425385915106,ALO
24,249.05273709714285,246.0217875474573,RUS
25,263.38780957567815,,RUS
