Minisector,NOR,TSU,Fastest
0,290.3508853439891,287.77412266666664,NOR
1,293.98530756491226,294.47543848421054,TSU
2,161.00748405814335,163.42377418039214,TSU
3,221.66144579079025,217.43884917414553,NOR
4,270.5184090032307,270.23452413968255,NOR
5,287.2739036310777,291.283333145098,TSU
6,286.01638472982455,298.04304467496087,TSU
7,181.13004425851483,175.80328379061206,NOR
8,122.45308413708716,118.25449108843748,NOR
9,246.9465772315315,245.1386277932976,NOR
10,280.34224373998495,285.205184044883,TSU
11,285.1342593185185,302.127632,TSU
12,150.95077047041738,142.33088776979602,NOR
13,188.2830128056923,185.73524589931975,NOR
14,254.26704814712755,256.51861398329254,TSU
15,195.40233570679882,206.20401157530864,TSU
16,215.1202930348836,202.05265806301597,NOR
17,213.31676643809524,204.95110801867315,NOR
18,244.2339889910008,239.06893395011338,NOR
19,276.71111202215843,275.0146823933411,NOR
20,290.2244708740741,295.212955222409,TSU
21,265.994029911133,256.19734913939396,NOR
22,227.3190850297104,214.06047725989143,NOR
23,202.79321683488993,199.37451934358975,NOR
24,262.0431807259546,262.8503764415678,TSU
25,279.66250026666665,,NOR
