Minisector,HAM,PIA,Fastest
0,252.37132080529685,249.05210212539683,HAM
1,288.08414703238094,286.07987560495246,HAM
2,181.29675380743498,174.8844778335835,HAM
3,155.00061157803174,156.92523318381413,PIA
4,256.3872006399782,257.52405309594286,PIA
5,276.0830705430303,273.50561045391055,HAM
6,242.95835390085674,252.92196768152021,PIA
7,212.85091726575962,209.71742437753508,HAM
8,154.4203134119472,160.45492155820972,PIA
9,218.13142598463352,215.18879774856097,HAM
10,272.92857509356423,273.005092470155,PIA
11,127.17181453113196,129.07593380290177,PIA
12,211.01221357219035,209.93396184089877,HAM
13,276.43514438655075,275.7204537245001,HAM
14,298.3856169196505,295.8032547478261,HAM
15,307.1550672650472,304.3211273820609,HAM
16,238.37138613228157,250.60100462090566,PIA
17,128.2908261153879,124.21965991674234,HAM
18,128.70370035502566,127.01865164315659,HAM
19,118.49131602748021,110.67926834993608,HAM
20,227.91446960761903,226.68748149903175,HAM
21,260.5867714052003,261.3807014549956,PIA
22,247.38339456234146,251.84960843102792,PIA
23,222.67968173478457,218.6329291214065,HAM
24,136.09421594965784,135.1570326555271,HAM
25,218.38333333333333,217.22681949243997,HAM
