Minisector,RUS,ANT,Fastest
0,283.81345132279574,283.09225110926405,RUS
1,300.19490638080475,302.2487745246753,ANT
2,231.23610829357906,239.97642688321832,ANT
3,114.69347532629058,118.30602383264821,ANT
4,136.6114889192728,130.84615180496593,RUS
5,256.4078679749404,249.33761262960954,RUS
6,259.5676238095238,270.7949410660652,ANT
7,124.46863529788385,125.33102862080831,ANT
8,249.32808221223888,241.64152218884436,RUS
9,250.51387967717943,253.83228008527473,ANT
10,209.97873372447137,209.27974815940468,RUS
11,144.3816607106441,138.84256664211145,RUS
12,217.57018269333332,204.694767180085,RUS
13,265.1042380496296,268.1422737423894,ANT
14,119.62035244760352,121.52533919020293,ANT
15,192.5890682416194,193.35075592628084,ANT
16,263.5430722074074,261.59326681904764,RUS
17,292.890684823716,292.2108733483749,RUS
18,306.99043859649123,306.4285402402005,RUS
19,312.58514829712084,312.3901304639488,RUS
20,316.35552631578946,315.51449656,RUS
21,181.17451804674425,159.09373500367386,RUS
22,146.82928231041845,145.32005749867247,RUS
23,212.19237151890812,206.8438318609184,RUS
24,239.45438442016507,242.55796854624498,ANT
25,272.2142857142857,,RUS
