Minisector,SAI,MAG,Fastest
0,271.92777757460317,273.0316488378117,MAG
1,289.0719905777778,289.1298406117647,MAG
2,293.20612542299267,292.5232462917293,SAI
3,130.00731658319825,128.09007512957027,SAI
4,208.17369444884946,202.0323403005291,SAI
5,253.6632582095238,256.63705016531844,MAG
6,142.64181181484773,143.15620974517375,MAG
7,215.3906657706667,207.31330189212935,SAI
8,261.027958210027,261.3781742730159,MAG
9,279.1660088140351,279.88167100380986,MAG
10,242.40194162959907,233.6352433432404,SAI
11,183.50485912606575,184.07474301968253,MAG
12,199.64969571470016,194.16292212891764,SAI
13,143.3486209122807,145.41497751602532,MAG
14,186.58311930937523,180.83588013628562,SAI
15,169.32315808571428,166.0890532011693,SAI
16,224.75589146297034,217.4877584563147,SAI
17,238.25318305921326,238.80169771324623,MAG
18,245.4280889175395,236.10696813932356,SAI
19,232.07018624617407,239.58315334492755,MAG
20,148.02815236036037,140.92034363833952,SAI
21,130.38728136876364,138.32302147113154,MAG
22,181.27861052444445,168.97602286190477,SAI
23,151.48419640865515,151.17135730587296,SAI
24,231.6684179030303,226.90572831111112,SAI
25,260.6333312,260.35833279999997,SAI
