Minisector,NOR,ANT,Fastest
0,322.7198438242229,323.21295493171715,ANT
1,331.95845251555556,332.867932793939,ANT
2,335.92220395789474,336.6802755833584,ANT
3,181.88511458140587,197.91623455456082,ANT
4,141.77033442382694,134.2350507404907,NOR
5,270.63421040730094,268.45335849224625,NOR
6,303.45495280357864,302.37760958780956,NOR
7,313.88761947468674,317.08018353499267,ANT
8,275.9312683552841,261.54390082336505,NOR
9,156.20610623433706,151.94075581401168,NOR
10,231.11877475866874,224.32729944130634,NOR
11,235.38305004217577,230.96727837622106,NOR
12,210.55269320907064,214.543810419343,ANT
13,273.7729083011142,274.9729260395257,ANT
14,308.4176959077937,307.95309049379813,NOR
15,317.5751653434921,319.23206770962963,ANT
16,275.8742781852923,267.7783075917949,NOR
17,222.46194869085045,221.92929855855883,NOR
18,279.8724390098392,280.95307578022243,ANT
19,309.8641573110809,312.29301443973856,ANT
20,323.20225667669604,325.196538360929,ANT
21,310.85793554285715,309.5922699377778,NOR
22,224.89703304959014,216.09186995053142,NOR
23,270.51271071560444,269.6100960928468,NOR
24,309.14449538037707,305.5579053979138,NOR
25,316.35338218508616,,NOR
