Minisector,PER,ERI,Fastest
0,295.64313725490194,302.30527053202644,ERI
1,302.29222293333333,306.6511111111111,ERI
2,164.7033048275862,155.75072446808076,PER
3,225.15619273623096,227.11824489142856,ERI
4,279.8638603086421,282.4789062666667,ERI
5,300.4488888888889,309.8588739949087,ERI
6,308.2997396,322.9660714666667,ERI
7,174.47205899018198,173.42370530574712,PER
8,128.76753679677657,123.81125109333334,PER
9,253.02192982456143,249.75311769081654,PER
10,287.75638876444447,289.19453146666666,ERI
11,297.4565104,305.66770833333334,ERI
12,146.667297810101,145.1047359312821,PER
13,192.7251637284438,192.69791786666667,PER
14,261.14444444444445,256.82888232603307,PER
15,195.35305328179004,195.09769123278127,PER
16,213.42291641212122,224.06543243875336,ERI
17,210.06704581818184,214.63409654024846,ERI
18,238.73144941029673,244.1100883649123,ERI
19,276.12349425658266,274.6188731223881,PER
20,292.16562493333333,291.4530522010656,PER
21,254.54023047049154,252.4100859508772,PER
22,215.4435611151515,219.0964946649995,ERI
23,196.16919216254612,207.47638984126985,ERI
24,265.6716087596869,267.31091505253073,ERI
25,285.15000000000003,,PER
