Minisector,TSU,OCO,Fastest
0,307.03916675199997,306.36182301793247,TSU
1,230.96279837252524,212.5000987340413,TSU
2,128.95103174028404,125.42586736624634,TSU
3,216.4566400585231,223.5674079283502,OCO
4,260.88276043281536,262.3326993777778,OCO
5,286.5747027570344,289.1698232011544,OCO
6,299.08871208311683,303.62914920070205,OCO
7,274.68601471525926,270.6959716223204,TSU
8,163.29262127813357,169.42790692616717,OCO
9,236.29263707827664,236.18595446946034,TSU
10,270.89663631327977,272.60087353173384,OCO
11,259.2072792645614,259.8339345815722,OCO
12,209.62687611826087,202.16082442881378,TSU
13,127.16920124736677,123.15424268570843,TSU
14,121.50207079166626,120.68639744296087,TSU
15,155.26747225970303,161.96777138554725,OCO
16,123.09224441409027,121.12783440371925,TSU
17,227.75452042599258,222.8912999942335,TSU
18,170.18829939111782,170.47436410369593,OCO
19,163.54903586274963,156.87471781465499,TSU
20,243.9770510357672,246.2792818785185,OCO
21,269.5985124552381,278.72082072699277,OCO
22,286.96581701926493,299.2732587757143,OCO
23,295.91578544410254,320.57857119307357,OCO
24,301.2077457791453,326.01749359794377,OCO
