Minisector,LEC,OCO,Fastest
0,297.883928431746,303.43880928761905,OCO
1,301.6491227508772,303.7933866751323,OCO
2,301.65796077886347,296.444647469407,LEC
3,215.41466168888888,225.06250141866664,OCO
4,223.52503048144808,221.88109376201135,LEC
5,119.40640751719013,117.7037523166326,LEC
6,223.96399880533332,221.9309293805259,LEC
7,264.4439390545454,262.49927462028984,LEC
8,233.41992850856784,211.5952196975455,LEC
9,122.02999788432146,120.09758685358257,LEC
10,238.76775262608697,237.5830904772847,LEC
11,247.15766737066667,250.5918420253968,OCO
12,133.60360335450565,133.69234108439167,OCO
13,218.73951659775258,221.2229675520501,OCO
14,264.2360503652174,264.8660696029227,OCO
15,216.043311265295,221.25533864409172,OCO
16,167.45465565490196,169.7942721589004,OCO
17,244.8266821877005,239.84486667439614,LEC
18,127.73645326376811,125.99059159698498,LEC
19,149.66963580589496,148.0363675715305,LEC
20,203.7541438802721,204.67640813262787,OCO
21,255.87435354985294,255.12776606605814,LEC
22,272.61456828952385,272.24810564848485,LEC
23,281.8763887238095,283.95138467480217,OCO
24,290.5048806857143,293.515459189891,OCO
25,295.33333333333337,,LEC
