Minisector,HAD,LIN,Fastest
0,248.73335719963148,241.3241015512545,HAD
1,132.27060958148428,139.824288922433,LIN
2,280.6296650102682,283.56475900770977,LIN
3,320.9282027402791,319.38113072959646,HAD
4,298.6464783551323,301.3215373545578,LIN
5,318.4849835409636,314.8300941298835,HAD
6,321.9217128237037,313.76689722687746,HAD
7,314.22944759590246,310.33761155142037,HAD
8,194.0335348222233,189.8228493967218,HAD
9,194.53460128634921,190.54444255491484,HAD
10,182.2964768218912,174.69074743793166,HAD
11,164.9805707275193,167.58703674520768,LIN
12,241.9699341407782,240.34023092577397,HAD
13,260.8894707564221,250.24700773239914,HAD
14,272.3772385205592,265.8043861902303,HAD
15,258.19265438499997,239.56537646225388,HAD
16,166.97629944332064,174.64038311692423,LIN
17,183.82023674033087,189.174404266452,LIN
18,248.01831069949074,249.96546081014895,LIN
19,302.76727448416966,301.20112746932006,HAD
20,322.74351951595105,317.2551968149222,HAD
21,312.79756924814814,293.05750398226706,HAD
22,300.54963798619457,275.02679518802177,HAD
23,243.73886019800253,237.68058080119786,HAD
24,118.06606628452542,122.9342421752791,LIN
25,219.34499712,,HAD
