Minisector,RAI,HUL,Fastest
0,292.7536416717087,289.1618788510363,RAI
1,127.19251673138412,138.03632657924163,HUL
2,161.4466203296163,137.75434952707246,RAI
3,219.4104203460807,231.00473630311143,HUL
4,159.34122528901324,159.27206853130903,RAI
5,245.55589945902088,238.04122683508774,RAI
6,223.35817887919066,232.58453959183672,HUL
7,138.23458206710552,130.4537281824192,RAI
8,239.35812442666665,223.91275565987453,RAI
9,281.20312466666667,271.4849818222222,RAI
10,290.579167,288.1669042447348,RAI
11,147.7622485010101,157.25799752634921,HUL
12,226.91549570558718,208.1181114900037,RAI
13,276.4264700235294,264.38466304537815,RAI
14,259.31088112592596,280.2824612014482,HUL
15,99.09876051585631,105.28722527234387,HUL
16,223.72465512795927,203.47004171724876,RAI
17,279.38749913333334,264.75617893781515,RAI
18,307.4790075733334,291.2093746,RAI
19,323.2680645985139,301.99419217787454,RAI
20,328.29531736380954,308.92944433777774,RAI
21,294.1463568,301.9578142,HUL
22,152.61543743901692,156.30129462643552,HUL
23,238.99999859649122,224.80291487999997,RAI
24,285.9264877883598,273.34149503276706,RAI
25,,285.2166656,HUL
