Minisector,PIA,HAD,Fastest
0,328.99536458333336,329.9223295608391,HAD
1,224.6163542746495,269.3928677236428,HAD
2,134.93163562999501,130.2882531832612,PIA
3,220.3673149511111,211.48608946405702,PIA
4,265.1332098765432,261.9884124451243,PIA
5,292.57598897582415,286.3573529411765,PIA
6,302.0974172511006,295.16980392784313,PIA
7,279.1014705882353,274.52570461658803,PIA
8,180.36806784792,169.27684339907836,PIA
9,243.38427736006682,237.60275316772035,PIA
10,267.70626148705094,270.49087962962966,HAD
11,260.42648838857144,260.692796901731,HAD
12,214.91852813852813,203.69496380366147,PIA
13,127.33748194481075,125.74505352623532,PIA
14,122.70197606329675,119.03996079888128,PIA
15,175.66008387445888,164.36845216188945,PIA
16,121.42564367195314,117.26586143500397,PIA
17,230.99675505050507,225.01348817523808,PIA
18,183.7941424514271,202.63331614359646,HAD
19,164.59576707724867,148.61052346448372,PIA
20,248.43889704981157,243.23024175576722,PIA
21,276.9178042328042,271.874448006796,PIA
22,294.4988234875817,289.8262937062937,PIA
23,304.6954676042723,301.2467911424245,PIA
24,310.5018576388889,307.8926786514286,PIA
25,312.0,308.3708330666667,PIA
