Minisector,HAM,NOR,Fastest
0,267.9841705920667,269.77361126736844,NOR
1,292.46540569949286,297.534843756041,NOR
2,306.29474456380956,311.4927858055977,NOR
3,315.3197319968634,320.9732777268148,NOR
4,319.56488623999996,325.69006949333334,NOR
5,322.2859381000866,328.76534223352405,NOR
6,197.1181933733995,192.69268884334974,HAM
7,106.23062972774574,104.5512660837432,HAM
8,184.8119826522751,185.837172835671,NOR
9,255.77372547666624,259.35673549874684,NOR
10,283.6452079466667,288.2821189886631,NOR
11,153.44151795952382,154.52627134150458,NOR
12,95.95182299283032,92.98530883154446,HAM
13,116.35064724649702,115.05449549922078,HAM
14,214.61753531374987,208.30637537255427,HAM
15,185.32214295497587,178.70006528161616,HAM
16,220.04705255619047,213.22128977659756,HAM
17,176.4747745802159,173.06722544077508,HAM
18,232.11166521777778,238.80958724828557,NOR
19,273.6834783881481,277.02741190557,NOR
20,246.49219072249352,221.4509900279849,HAM
21,145.7685656903418,135.89350657080033,HAM
22,96.5687412318541,96.38004787169218,HAM
23,126.49610335089947,120.5180778317589,HAM
24,222.48047844119972,227.02423143749428,NOR
