Minisector,GAS,NOR,Fastest
0,294.7827147511062,295.7256677401058,NOR
1,302.518541592381,302.96899558136323,NOR
2,224.16433979048756,209.40422784945687,GAS
3,135.05256589511214,132.76641060057977,GAS
4,216.25035410330412,218.98689124363636,NOR
5,165.30483578770662,166.8732161846406,NOR
6,169.48833990587147,168.60779965128205,GAS
7,248.18467959123808,248.17548141188763,GAS
8,278.13452337665444,277.833567398254,GAS
9,287.38153989967844,287.08136888380955,GAS
10,258.0165205866667,261.66216065885266,NOR
11,238.45133271640603,240.8790772,NOR
12,241.6194122011191,242.87189533778943,NOR
13,212.79978721220198,210.69012722782608,GAS
14,132.40469407592852,126.78980558389115,GAS
15,138.80090129260068,145.42877684734648,NOR
16,167.73786661478456,163.87578961663172,GAS
17,252.91037611669435,250.38632845968255,GAS
18,254.85227143728176,251.80919494603177,GAS
19,115.68286487840494,116.01339640191387,NOR
20,187.43585004036618,182.14504036044343,GAS
21,195.1984404670602,203.4176090627087,NOR
22,232.59580265758734,230.0662861347939,GAS
23,269.4358116658462,270.9875194917813,NOR
24,293.0837446596248,293.4412874651038,NOR
25,,305.11500032,NOR
