Minisector,BOT,SAI,Fastest
0,278.4121412873231,274.28458615155984,BOT
1,235.97790806313083,228.3173509802036,BOT
2,114.56065697507402,115.86228411474036,SAI
3,193.78989404165344,185.91873757731798,BOT
4,176.0384148615212,176.11241600345585,SAI
5,217.64054244174477,212.97788343780212,BOT
6,277.20556493058587,269.662561046318,BOT
7,295.6850956546151,286.49102476956085,BOT
8,184.65186306740569,184.12488304023753,BOT
9,133.69659696489134,130.8049816477424,BOT
10,132.43802928799255,133.76728435097135,SAI
11,190.4663399423852,190.52122814303644,SAI
12,222.43067645117677,228.9855914717003,SAI
13,133.54021159105525,129.6606301791192,BOT
14,156.21380747166646,159.9164517086039,SAI
15,123.53453114153247,118.35744668380099,BOT
16,254.40097374241677,250.31680430052992,BOT
17,147.74928440461937,149.11267485951487,SAI
18,196.43160620761833,196.8683963552881,SAI
19,137.00968545033697,128.66553812397615,BOT
20,150.1911872542947,152.95078157803846,SAI
21,127.10203724850675,123.90387556473917,BOT
22,146.2750168848022,142.08882576387438,BOT
23,223.03220509685636,217.862237372347,BOT
24,228.38319067197565,229.6147120626891,SAI
25,262.9500010666667,,BOT
