Minisector,OCO,RAI,Fastest
0,267.1841107287267,275.31552145651483,RAI
1,286.81421973333335,298.27236828070176,RAI
2,292.6666676210526,306.48915673162696,RAI
3,124.13723919817181,126.53954240171126,RAI
4,191.3188164361059,194.60536993068646,RAI
5,251.3786024607108,258.2711177287982,RAI
6,137.70993014041363,137.75555003895445,RAI
7,201.1599463108949,198.98857498021977,OCO
8,256.28333280000004,257.4139570294161,RAI
9,274.9911194395665,284.3891666133333,RAI
10,235.7759120608195,220.80024697071212,OCO
11,178.69218984889847,178.91923159661923,RAI
12,188.13244700738528,190.27050828695258,RAI
13,151.77693725031367,147.61249491744795,OCO
14,179.64859114217572,173.4311224489642,OCO
15,161.47523158009744,159.9142689262585,OCO
16,213.75129964016207,214.43124787427357,RAI
17,230.5413787055885,232.0012431900621,RAI
18,232.69063018408656,230.18922875095484,OCO
19,239.35985037575756,244.9979180121212,RAI
20,142.44366577234928,138.36769853570948,OCO
21,132.66349102199425,133.71693661315192,RAI
22,167.34954927546434,172.71861222077646,RAI
23,148.6734490695178,145.3762530894097,OCO
24,223.74999795555553,230.9911938538022,RAI
25,253.14999893333334,,OCO
