Minisector,RUS,STR,Fastest
0,296.17906279028693,310.8460456293218,STR
1,252.58047518247156,222.79087236232735,RUS
2,195.02475019163364,187.0139363145348,RUS
3,263.83026713513226,261.58880981308226,RUS
4,228.2527479554281,207.71560995268817,RUS
5,108.94196644442847,104.94861837574918,RUS
6,159.72105829182055,164.21720693990946,STR
7,254.82545799102715,256.04361446243587,STR
8,287.57470341554136,290.6402991033155,STR
9,303.08630760116944,317.93043917837576,STR
10,309.56447923634164,325.5746678821832,STR
11,217.5144495880807,201.57897976986885,RUS
12,139.02270682323186,137.38446623667812,RUS
13,251.48741874988005,254.13284934513834,STR
14,288.11225345015873,290.6067624066721,STR
15,300.6711268537566,302.61332649008347,STR
16,299.5430688815264,301.1467882333333,STR
17,259.4610977031332,247.22252993799725,RUS
18,179.17277900728928,172.02736692804777,RUS
19,177.6930536274867,167.39527463577863,RUS
20,178.52903472075408,187.55620923290044,STR
21,247.10812192784422,238.36188409459493,RUS
22,119.74327916313996,111.25515608352178,RUS
23,192.3056288722442,206.77979033069124,STR
24,273.4233972588959,276.22440069718533,STR
25,287.72500096,,RUS
