Minisector,LAW,MAG,Fastest
0,266.1112676616462,268.5630695836867,MAG
1,245.68816444210026,248.8573625509957,MAG
2,116.82403325004103,119.4360265614255,MAG
3,168.03692894362342,170.4565044696296,MAG
4,187.97320432243595,192.88380976838096,MAG
5,189.83289055981186,190.9516431068033,MAG
6,264.4536625240931,264.8462335498039,MAG
7,284.78332334708193,284.8941527717813,MAG
8,239.46535989863352,236.1673698296159,LAW
9,142.5488135982904,143.9831774203003,MAG
10,109.80745658196713,110.98865493298162,MAG
11,149.06848687891204,149.26522053867558,MAG
12,240.50269104669036,241.58167958683538,MAG
13,148.1695514023945,158.58430948761026,MAG
14,140.5396326476462,139.79376743597882,LAW
15,100.38191762649903,110.60763799054499,MAG
16,210.31413283805742,210.02009619761762,LAW
17,227.64032416050122,242.6866703078788,MAG
18,123.52245292044863,122.70845870116288,LAW
19,240.61135991093028,234.95735402456754,LAW
20,274.40367937176273,272.90490355116884,LAW
21,202.50552656269466,215.24349844033318,MAG
22,139.0406725682646,135.0996062581309,LAW
23,206.66821591892412,211.9069041853013,MAG
24,220.0536583290386,216.6452771111111,LAW
25,,253.74666837333334,MAG
