Minisector,PER,ALO,Fastest
0,295.0919094648039,293.87666282666663,PER
1,163.7844296701039,158.771121954544,PER
2,156.09602221598618,150.54781423074047,PER
3,223.31194418154442,222.3687432775988,PER
4,285.800550466905,283.33659503542856,PER
5,293.49253662710623,288.427243774359,PER
6,149.68121523781906,144.08494942012675,PER
7,142.89747687978632,139.9729322537429,PER
8,146.33749920106442,145.59658818358974,PER
9,181.6861572522067,180.19499468902043,PER
10,131.62142551025863,129.01665052097414,PER
11,131.02957066148863,125.04661645671891,PER
12,166.83584693810937,168.19187839716395,ALO
13,268.34547704397744,266.95178894528436,PER
14,290.2733466675111,285.94947405300934,PER
15,153.68074733974873,150.75920372363439,PER
16,214.87273410455987,209.15214278095237,PER
17,164.70468574833328,167.39114254925585,ALO
18,268.0762108124137,269.98731169439304,ALO
19,291.4435898666667,294.2571180888889,ALO
20,305.43113247593055,308.2991718426501,ALO
21,313.3581349079365,316.9896740173913,ALO
22,315.9961956637681,319.6984126984127,ALO
23,316.63888893333336,323.14278337163506,ALO
24,313.601948000303,315.2572464231884,ALO
25,309.0,,PER
