Minisector,HAM,STR,Fastest
0,261.85743969976176,260.9417975697828,HAM
1,132.0878381482539,127.29979744467609,HAM
2,266.1181029934868,254.13046863737273,HAM
3,308.1028627637607,301.0203406363215,HAM
4,305.56057341177745,301.04117750836457,HAM
5,309.08496736845376,305.6982110933333,HAM
6,312.80523074056,311.5235999744,HAM
7,315.154040738107,310.3903683889459,HAM
8,201.30410988841024,192.22033380578,HAM
9,197.97022094498195,187.74854897133383,HAM
10,192.9437229061609,182.04848960042625,HAM
11,171.42271642541883,168.44848689892123,HAM
12,256.9961871256318,252.0701217322393,HAM
13,281.6352277603216,274.41851805180954,HAM
14,282.4149228167706,274.66832363822056,HAM
15,281.7038590041265,259.8280961813825,HAM
16,184.30454749971395,177.1012408384496,HAM
17,196.0188797283236,181.68418079584788,HAM
18,237.50783547120398,231.96095249217672,HAM
19,289.1646064009197,282.5320992808936,HAM
20,313.0059220198496,306.3288688943254,HAM
21,318.8162231204662,313.4844999801905,HAM
22,317.097845160127,312.69683135265865,HAM
23,254.61708976884364,237.01629957751803,HAM
24,109.66547798141383,110.32821102478312,STR
