Minisector,BOT,VER,Fastest
0,287.5965277037037,290.80994876224645,VER
1,297.522678163293,301.5407738571429,VER
2,302.1236978857143,305.75495688964793,VER
3,304.2259799215686,306.51071472380954,VER
4,188.348459563801,180.1396782005586,BOT
5,222.7931816727273,215.3008789863354,BOT
6,249.5585119743632,242.77312501333336,BOT
7,269.886873118797,267.3936728931302,BOT
8,271.06157347724866,265.4097088999446,BOT
9,173.4313002457071,170.8859888184332,BOT
10,234.37023779740258,234.9235644910645,VER
11,141.95539720050965,138.09274455925404,BOT
12,225.3175573740812,221.31575916521737,BOT
13,207.1050841777778,202.6421458692581,BOT
14,217.34894549191318,215.1577723224904,BOT
15,252.83145845333334,248.87231051175536,BOT
16,262.9401630877193,262.1138151859649,BOT
17,284.845325032791,284.15735247058825,BOT
18,143.04796425368022,141.63220439746715,BOT
19,162.3709868531142,161.07438716298535,BOT
20,150.50709508325653,149.8222029621934,BOT
21,172.11760743225807,175.75156100623974,VER
22,124.22515029527554,120.60803958255937,BOT
23,227.00275004081635,223.50302877229436,BOT
24,268.2258776140351,268.5217095298246,VER
25,281.26666666666665,282.4062496,VER
