Minisector,RIC,SAI,Fastest
0,277.98586949565214,278.79153640350734,SAI
1,293.11777237602496,295.4212498133333,SAI
2,239.69733307733333,234.27639957809978,RIC
3,119.85583988216939,112.62248621885252,RIC
4,135.3861672714205,132.6537937458986,RIC
5,248.98866608253968,248.5778038700355,RIC
6,257.5112235836876,254.3880767065645,RIC
7,129.93877080852798,122.76750556363679,RIC
8,247.20398608695652,247.4616392695652,SAI
9,265.891856,255.29188588432962,RIC
10,222.43128845573622,207.97992622134646,RIC
11,145.49212629118784,144.42163061592146,RIC
12,209.9557286071326,210.18684749940343,SAI
13,263.6761620208617,262.24288443290044,RIC
14,124.81225963034295,119.29813700559919,RIC
15,190.28362001051087,191.50119399068052,SAI
16,254.84274670422045,256.5050724637681,SAI
17,285.4889928048344,287.40951622702545,SAI
18,296.1120615298246,300.36979162666665,SAI
19,300.22785094736844,305.9513158736842,SAI
20,303.6997917333333,309.79978060350874,SAI
21,189.3967130120062,163.48493181850685,RIC
22,137.3658699114048,147.60831314423854,SAI
23,209.23009339373147,199.4407293515711,RIC
24,235.66344106971428,236.74207697232464,SAI
25,264.35,264.97095620805476,SAI
