Minisector,NOR,BEA,Fastest
0,249.36069129225442,248.33499344511503,NOR
1,284.1860209253333,284.737499952,BEA
2,158.75548451663593,163.11658635676338,BEA
3,170.0749862029426,155.60030850584695,NOR
4,257.49087904447066,254.16620999346995,NOR
5,265.4170667444976,269.245641420951,BEA
6,235.1989538881119,235.88483028223143,BEA
7,207.5551718727104,200.57628596899573,NOR
8,163.213173869325,161.37271306781554,NOR
9,221.05940045113255,214.77925862442223,NOR
10,272.17483367915895,269.85835983170483,NOR
11,130.47539843823537,125.43193841721781,NOR
12,216.93100083065661,216.0953551331482,NOR
13,275.87538988549846,277.1513415248198,BEA
14,298.88293145333336,304.8712175511203,BEA
15,308.4552631578947,319.23715535772766,BEA
16,247.18691331200134,215.28897265786023,NOR
17,130.45736889063338,128.80659312613912,NOR
18,131.0572226082526,130.65016540388007,NOR
19,122.7413453426708,120.26088944346361,NOR
20,221.5910517934118,221.0472561963273,NOR
21,248.4787757484737,256.8570668394198,BEA
22,245.51051887542857,234.67204765302253,NOR
23,222.76179913035114,213.2241775892421,NOR
24,135.49343724937188,137.8773001401517,BEA
25,216.0888888888889,,NOR
