Minisector,RIC,PER,Fastest
0,319.0270186136646,322.7485512347826,PER
1,326.11136373333335,332.7957520969697,PER
2,322.2665631072464,336.68856100705545,PER
3,193.3140869175101,194.08396490094933,PER
4,116.4502825633475,115.44310148218673,RIC
5,264.7125501590819,265.8776974586886,PER
6,300.8456931097432,304.48386384926175,PER
7,311.88876823188406,320.1615896266137,PER
8,274.8883319933509,280.02170165290204,PER
9,139.39541771573892,137.8644862469245,RIC
10,221.6054244235518,217.2739895426178,RIC
11,216.15252539879634,209.7885450329181,RIC
12,192.6915492778303,191.29201829895905,RIC
13,266.24856215123225,266.9843855524545,PER
14,303.4730869238572,305.94317717755746,PER
15,311.7875517283644,325.98369581449276,PER
16,259.08684452037437,264.16038487477954,PER
17,205.3925887207934,190.32984195998048,RIC
18,271.39559370282694,266.6572336672353,RIC
19,305.9310039850932,307.82844504463725,PER
20,318.8538823566912,324.84047603809523,PER
21,307.9493064888889,318.7222545048203,PER
22,206.86811400293732,203.2219150568859,RIC
23,262.9901779047619,260.77930866392813,RIC
24,300.03869608766496,304.16793437681156,PER
25,293.1499968,316.5916650666667,PER
