Minisector,TSU,ALO,Fastest
0,249.45692882362303,248.77384104085237,TSU
1,284.7479092099048,286.4922116850017,ALO
2,179.2825028443224,163.2409804989399,TSU
3,159.79065162849503,155.3433466268216,TSU
4,256.0692460319414,255.41413012752832,TSU
5,268.2868110715509,269.05824499478257,ALO
6,233.97351907849622,238.09988273808003,ALO
7,204.8984559717983,213.48907305385623,ALO
8,162.845806772047,157.66807675416163,TSU
9,216.54303290612248,217.36221382793264,ALO
10,269.45561285968256,271.6819629549311,ALO
11,135.55955436565682,126.83971515662563,TSU
12,209.49219061534862,208.1683361132207,TSU
13,276.3727231462434,276.16751557163417,TSU
14,295.528412888658,296.9991368022626,ALO
15,304.9730324177778,306.49895831111115,ALO
16,235.04651390093835,239.98184445003176,ALO
17,128.39105183019473,129.01886776308348,ALO
18,124.11248118736644,127.0035944631279,ALO
19,120.24561936611595,117.93170715196351,TSU
20,225.83463740145882,217.30673108182455,TSU
21,257.7741751836791,260.43611903504603,ALO
22,242.77854691003174,241.8845145607926,TSU
23,217.821463940922,210.73022281127464,TSU
24,133.36998497115226,135.1027546787413,ALO
25,215.8750048,215.8888874666667,ALO
