Minisector,HUL,OCO,Fastest
0,284.7046892946503,279.79323329260967,HUL
1,117.55378486639898,116.7339616762556,HUL
2,159.19244738058663,161.736614193498,OCO
3,212.00726797682427,208.91249349233954,HUL
4,168.98381527086755,163.6638514563265,HUL
5,246.1433917424762,244.5612209693848,HUL
6,203.26347424468864,213.97539012103857,OCO
7,137.31737243391652,135.17274749734878,HUL
8,238.26818065904763,240.8349953700858,OCO
9,278.0610831413343,278.2813826319577,OCO
10,286.95703147658054,283.42499072723257,HUL
11,156.09727069991098,156.94415118507223,OCO
12,221.87182173840984,223.80328777622734,OCO
13,272.58916224920637,270.16514884342854,HUL
14,260.6944655310438,263.7326400237037,OCO
15,102.03146143798435,102.84622667794055,OCO
16,223.0757683107458,224.762755261678,OCO
17,271.5544216083984,270.5274970465072,HUL
18,293.66911287333335,291.9233972585538,HUL
19,302.69009278838763,302.47042151577614,HUL
20,308.421182328949,305.71851504761906,HUL
21,283.10436915555556,282.76886781152325,HUL
22,152.78314099565983,163.83936818266497,OCO
23,238.64786593055624,232.8876085423923,HUL
24,277.20288793599997,275.3805813652763,HUL
25,287.91000064,,HUL
