Minisector,LEC,NOR,Fastest
0,296.96066576311716,301.09382216756654,NOR
1,160.9238371303738,155.67275792391825,LEC
2,149.57116591895297,150.34680330423186,NOR
3,231.9778338631769,225.1781148639041,LEC
4,288.10557096347827,285.12883278201167,LEC
5,291.2338359205696,284.89373814265736,LEC
6,149.17574087566814,154.3199253068973,NOR
7,146.08247496639342,137.9536304468938,LEC
8,140.76210616935055,143.0905021008744,NOR
9,191.8540416541799,174.19335065491802,LEC
10,142.69292044828967,131.4713899979048,LEC
11,123.04699972797341,127.68007302757749,NOR
12,166.38077948322552,157.07360699073456,LEC
13,270.34707037965103,264.50269194436135,LEC
14,295.603351851719,289.6818787617391,LEC
15,149.90433068336463,148.281350387015,LEC
16,197.6807614825563,209.1711774859804,NOR
17,174.01352267773703,162.52157776276968,LEC
18,271.80624783605595,270.0370633328169,LEC
19,297.64876665681516,295.6104986043024,LEC
20,311.94194501035906,309.9200275895652,LEC
21,319.21636905629316,316.04986439378445,LEC
22,324.0672299427651,320.56512153980884,LEC
23,326.5491072,322.5928703930697,LEC
24,327.2484617499944,321.3090693373434,LEC
