Minisector,VER,KVY,Fastest
0,299.38985811855906,338.06706171951225,KVY
1,232.77819925210332,268.7070096916104,KVY
2,145.85752875365364,126.84751417046914,VER
3,226.2993035199823,218.82916666666665,VER
4,265.68559146564326,262.75478294581364,VER
5,288.57849752688765,289.0152057743316,KVY
6,301.5858634694735,305.0,KVY
7,278.16715946666665,290.541238147081,KVY
8,181.9361517602096,177.413174427975,VER
9,246.39267639258853,240.94585182567266,VER
10,276.93487023058356,271.5865671705156,VER
11,271.0436795620214,262.1324263802954,VER
12,218.0600040879023,204.13717106512965,VER
13,135.78010992535638,132.99389841750042,VER
14,134.33396906077922,126.6806297747731,VER
15,166.91426992304028,166.97232824327764,KVY
16,130.69690645369062,125.52446069312744,VER
17,235.17026572923973,230.95362927434516,VER
18,190.6671044448127,184.52018611726825,VER
19,172.5939828354786,169.34629929613388,VER
20,251.73602494187284,251.27505938064522,VER
21,280.68998715226274,279.0528098789213,VER
22,293.7989578666667,292.71440647023985,VER
23,302.25019820130694,303.4144580434759,KVY
24,304.76999992888886,309.12281563632206,KVY
25,306.0,,VER
