Minisector,ANT,SAI,Fastest
0,283.4222383085236,284.1770969025451,SAI
1,153.78787376556662,150.30020821966835,ANT
2,165.8208445846184,156.17144552085048,ANT
3,246.96024367171503,241.95865671143892,ANT
4,267.8673684210526,263.0221173625859,ANT
5,245.0464203491364,230.37855824516694,ANT
6,214.88876695511024,205.46046409764773,ANT
7,143.52167826363387,139.68703699870417,ANT
8,227.58339902268398,227.24801913551022,ANT
9,299.32839673377197,296.8704064986647,ANT
10,321.107436033115,320.4724998577778,ANT
11,325.48754167466666,320.4425773929822,ANT
12,317.96399697234295,313.7951339085714,ANT
13,310.8164457825427,308.60457868883117,ANT
14,125.367183438346,126.57798024582091,SAI
15,115.74442709599639,118.9397634286959,SAI
16,99.12454581327354,100.42753979922078,SAI
17,239.94448240899473,236.33146941298702,ANT
18,306.15584704903864,302.83766929862713,ANT
19,317.6121522309775,318.87160391332765,SAI
20,314.8109062533333,316.57838546666665,SAI
21,312.5970944296613,314.87368424421055,SAI
22,122.75939297044481,116.81596924271115,ANT
23,205.85184332538415,197.98463503612365,ANT
24,269.99526363659464,268.58551365484425,ANT
25,,277.1118010216683,SAI
