Minisector,TSU,ALO,Fastest
0,255.1169011209642,252.1867953643435,TSU
1,213.08368323260234,214.16069996744932,ALO
2,207.36925959081887,204.68523235178128,TSU
3,257.2681759394048,260.12492657700653,ALO
4,271.05395337317333,274.73984689132124,ALO
5,285.8214675705887,291.11460237799156,ALO
6,162.2894058452595,163.44222571199637,ALO
7,187.43755180835893,179.33128504399218,TSU
8,267.5316624337222,265.741633892987,TSU
9,289.22852661553304,291.57656109076726,ALO
10,299.009596762712,303.05519927909063,ALO
11,297.77527233742046,304.92159539578546,ALO
12,113.82180815115987,113.96651951156352,ALO
13,189.3703000122252,190.33916646473654,ALO
14,270.1588286543377,271.9419179287642,ALO
15,292.8366442958402,295.44904444419996,ALO
16,295.636931809393,300.8319245910463,ALO
17,184.8588086536105,182.3380194275953,TSU
18,222.0429541073889,220.38130085224486,TSU
19,265.29392451278557,261.49425443410877,TSU
20,154.3299898730708,149.82363048406816,TSU
21,147.62114388272724,147.35011638299798,TSU
22,222.90695492177056,221.9891107447127,TSU
23,233.65967348003045,225.6032716294953,TSU
24,158.34597450483662,162.92961290248584,ALO
25,228.23333119999998,,TSU
