Minisector,NOR,ANT,Fastest
0,271.3832497360271,270.30142777563475,NOR
1,234.68344794883177,255.01788283614619,ANT
2,120.04112441736949,126.59753954424242,ANT
3,172.83537493328717,166.788855968354,NOR
4,200.19174975045524,203.29896261946448,ANT
5,199.08010887999998,192.93954636478097,NOR
6,262.02595162229403,262.65699150169274,ANT
7,283.65459242039645,286.708947671579,ANT
8,219.98322588994708,249.76739973904762,ANT
9,150.41029899559405,150.53654248485176,ANT
10,117.93533140443898,122.26515036249172,ANT
11,160.66008242318466,161.23026454089236,ANT
12,248.50624993629629,239.8918124193567,NOR
13,160.2605872067221,163.24206729414678,ANT
14,148.49927478045228,148.7589747073112,ANT
15,108.60731310917885,108.90235522968679,ANT
16,214.18987736192827,212.89035820577482,NOR
17,238.00129397544654,240.85709409158005,ANT
18,129.0636028057065,118.99511566788358,NOR
19,237.25493999540424,237.41812022194617,ANT
20,275.1956138782766,271.89768392689774,NOR
21,203.20921421201533,218.00365973278912,ANT
22,146.5711781634317,140.62462150763432,NOR
23,218.6512662992475,215.22518882763922,NOR
24,232.58751410967614,231.04920248490998,NOR
25,258.4500032,,NOR
