Minisector,NOR,BOT,Fastest
0,311.0130436173913,291.12604137777777,NOR
1,319.46187504,300.57865592961303,NOR
2,287.0947178236827,274.011501824,NOR
3,115.27787884772908,117.57820910991707,BOT
4,227.43536355171094,233.1900480988965,BOT
5,269.85285221587304,272.82502346361906,BOT
6,211.42129573244392,204.5639742803935,NOR
7,176.2120497009009,179.15329717037037,BOT
8,220.63822895087878,213.2806977486748,NOR
9,224.5854167822222,227.097500365977,BOT
10,116.5419667038088,120.24909960976957,BOT
11,231.75463650333447,229.869350094331,NOR
12,118.78566345472917,121.08045819013932,BOT
13,227.87383121088436,231.98166538666666,BOT
14,271.71527777777777,272.5629659385162,BOT
15,215.51199925284178,212.9986575139785,NOR
16,207.00192012288787,207.2349824401985,BOT
17,253.01589503209877,252.21762802051282,NOR
18,193.03347003209896,195.1809037037037,BOT
19,194.3421828133922,196.3361108040404,BOT
20,266.72942533977266,265.5877971282051,NOR
21,284.889384984127,284.30688426666666,NOR
22,166.72077444270514,161.760881315257,NOR
23,217.68288759668047,227.9284344586048,BOT
24,271.85905801407864,275.79191445714287,BOT
25,285.2875008,,NOR
