Minisector,RIC,VER,Fastest
0,267.9430051050273,273.5441670139669,VER
1,228.56217187061472,232.82587194633876,VER
2,109.6599324264106,110.8327755369948,VER
3,178.72484525641963,177.07517472150468,RIC
4,174.2087575861824,177.29308543804515,VER
5,211.56437422821938,212.64578952727274,VER
6,265.8887319723426,269.6316955689165,VER
7,278.1983004491228,288.6693696430252,VER
8,178.417821938093,182.82124300999408,VER
9,139.64605764094458,121.62974053574548,RIC
10,129.6264156025939,134.01952636657293,VER
11,190.18604460919946,176.99264680749616,RIC
12,206.27860140913813,216.9675653991619,VER
13,124.48694042041122,129.01467787527318,VER
14,141.93313602242438,151.03507759527025,VER
15,118.12268359998808,115.25631901525416,RIC
16,245.1985925953692,249.89175697011783,VER
17,134.4639665585316,135.2499381635112,VER
18,192.43925169509515,187.52355899555764,RIC
19,120.004130923468,121.10379088070663,VER
20,123.80248365801368,127.59779678224156,VER
21,113.17011673512887,118.55111449889976,VER
22,134.64771441641005,137.14043590700885,VER
23,209.8528123828259,213.8261750628531,VER
24,226.4528624404152,232.40446938558762,VER
25,254.82954472727272,,RIC
