Minisector,LEC,PIA,Fastest
0,326.43647677575757,324.5711478774532,LEC
1,338.7019659777332,335.35640428072816,LEC
2,337.7965554123636,335.7236457617778,LEC
3,202.43183957471973,196.61253144724046,LEC
4,128.00142780482395,140.18553836655272,PIA
5,265.89930538329355,267.9003567289559,PIA
6,301.0045691018399,302.9843779924007,PIA
7,316.09238666158734,315.96630691723965,LEC
8,284.5083899741799,263.48992102352094,LEC
9,144.19276448379256,144.5871651207869,PIA
10,219.63401189789286,224.89002219577964,PIA
11,222.37933267613448,234.6798029399756,PIA
12,199.09180017840433,208.54984814861496,PIA
13,269.29795978926825,272.28121416932277,PIA
14,306.6627996521017,309.01127801139904,PIA
15,321.2331545752381,321.03818993246756,LEC
16,263.91060017005714,274.38449429223107,PIA
17,210.22363723073016,221.59260225837684,PIA
18,276.31426313403193,282.912743236223,PIA
19,308.6806574493122,312.6957709157287,PIA
20,322.38931685453633,325.21008204035275,PIA
21,298.35732911543903,300.716084924041,PIA
22,205.99039851547994,214.44373477136713,PIA
23,265.53110659065794,269.7366264180316,PIA
24,305.6494246049524,305.65718723695306,PIA
