Minisector,PIA,BEA,Fastest
0,271.5336618492517,272.1816341714286,BEA
1,253.51826428034445,247.54717790970787,PIA
2,119.6863508618449,119.23609090094861,PIA
3,176.00390682786636,168.91591455904762,PIA
4,196.64398964008734,192.04575363202477,PIA
5,198.52028140901587,198.36383854314573,PIA
6,262.5175089636431,263.60797779963457,BEA
7,283.17473348667795,285.6932021894737,BEA
8,235.07401060124445,229.03809967582546,PIA
9,147.16267539087718,147.31584472644138,BEA
10,119.7270340100118,121.43548149054757,BEA
11,170.72151902930477,161.93355128259188,PIA
12,247.67450944738815,247.52149644640693,PIA
13,162.90438026096365,154.6809074408758,PIA
14,150.57869648267334,142.38557831075727,PIA
15,106.36627068551849,105.28580566943361,PIA
16,216.04438293237746,217.90368957050507,BEA
17,228.88138553637427,241.20173017008406,BEA
18,130.89089438081535,128.84997504797383,PIA
19,239.37635684419047,242.75230249896674,BEA
20,274.3387550448828,276.6591220709957,BEA
21,203.21173951259843,202.9613167141836,PIA
22,156.06716538152145,148.44953777010744,PIA
23,220.3901567748857,225.862062122206,BEA
24,235.66569016259217,234.17040709942282,PIA
25,,259.9954571636364,BEA
