Minisector,ALO,HAM,Fastest
0,282.18631590232593,281.8659765127806,ALO
1,297.0589490836364,297.50035806653966,HAM
2,298.47161277423993,291.1137230766497,ALO
3,177.61957867059732,181.9560087941764,HAM
4,222.66220971594012,219.44310696734695,ALO
5,204.5413549015231,207.49047500617553,HAM
6,179.2010976650864,186.37386419332995,HAM
7,211.67803335336464,212.95958200123434,HAM
8,258.0583249601467,260.8571828083628,HAM
9,270.75780929041974,271.3704650811415,HAM
10,167.8085089680259,166.8462627707519,ALO
11,239.98823413238293,238.38902462330228,ALO
12,117.91005000314208,115.66679386385859,ALO
13,220.7814839590148,223.71708531541103,HAM
14,277.21309660428847,275.732687761679,ALO
15,293.9441317031884,293.49837596671125,ALO
16,213.98994506853998,215.31005584988938,HAM
17,182.58564115153513,190.7528414447392,HAM
18,266.04025281320986,263.6374246185538,ALO
19,292.5053353703896,290.87657738299595,ALO
20,302.3859483829405,301.35137321469387,ALO
21,302.47864572221613,299.85038506061983,ALO
22,272.5695769280323,259.0888181054121,ALO
23,114.85681717275077,120.05682022087602,HAM
24,234.57466396455075,235.8897872347922,HAM
25,,267.95624799999996,HAM
