Minisector,ALO,OCO,Fastest
0,303.0893228666667,306.36182301793247,OCO
1,224.72764480298613,212.5000987340413,ALO
2,129.03312815691334,125.42586736624634,ALO
3,213.5129622762348,223.5674079283502,OCO
4,259.89482021668647,262.3326993777778,OCO
5,283.15485478496726,289.1698232011544,OCO
6,297.2128193777778,303.62914920070205,OCO
7,270.74199631519707,270.6959716223204,ALO
8,169.11557106481888,169.42790692616717,OCO
9,240.06687118846858,236.18595446946034,ALO
10,270.870615265702,272.60087353173384,OCO
11,256.23125886431376,259.8339345815722,OCO
12,210.3247253737474,202.16082442881378,ALO
13,119.00193241351579,123.15424268570843,OCO
14,124.74133307901235,121.97359717340927,ALO
15,158.22664076689625,161.72157087540361,OCO
16,117.54894471312456,125.11827876559745,OCO
17,228.04221802901563,226.4452920383576,ALO
18,178.8970081165576,165.4855901794047,ALO
19,164.58437342990123,158.69487505381014,ALO
20,243.62557735238096,246.2792818785185,OCO
21,270.871969838522,278.72082072699277,OCO
22,287.6979147236907,299.2732587757143,OCO
23,297.2538257385281,320.57857119307357,OCO
24,301.33529402352946,326.01749359794377,OCO
