Minisector,VET,RAI,Fastest
0,288.37254901960785,292.7536416717087,RAI
1,128.12684871400293,127.19251673138412,VET
2,165.5477954144621,161.4466203296163,VET
3,220.77380816114055,219.4104203460807,VET
4,163.70617283950617,159.34122528901324,VET
5,244.64902077848964,245.55589945902088,RAI
6,212.45486542443064,219.08173631922585,RAI
7,140.79484580939737,138.63563000853298,VET
8,237.0340476190476,239.35812442666665,RAI
9,277.1181037969187,281.20312466666667,RAI
10,284.52964851586836,287.48284379607844,RAI
11,149.67367038573144,144.9441415,VET
12,222.4889891098671,226.91549570558718,RAI
13,271.27058823529416,276.4264700235294,RAI
14,269.2444472888889,259.31088112592596,VET
15,104.56925510879745,102.37939831518158,VET
16,226.96031613968253,228.47774576075523,RAI
17,276.33723986666666,279.38749913333334,RAI
18,297.7825519333333,308.26156960000003,RAI
19,308.53538909847583,323.85019362527964,RAI
20,312.45818792973546,328.64844311208793,RAI
21,291.8118486473895,294.1463568,RAI
22,156.89118974668855,152.61543743901692,VET
23,238.6202955828024,240.48020693333333,RAI
24,280.54004557037035,286.9454479327731,RAI
