Minisector,OCO,VET,Fastest
0,259.0615076266282,271.29185804559313,VET
1,276.405231122963,297.6771527777778,VET
2,283.6512952013427,309.40089299809523,VET
3,129.05535885976903,121.71217646728122,OCO
4,184.28932850285716,200.03325615374763,VET
5,248.94632237176472,253.48349510138982,VET
6,134.95619203779805,131.09850294029272,OCO
7,196.8400162761483,201.00524594909092,VET
8,251.89493943314287,256.0045856916763,VET
9,274.54803497116126,276.0338062746599,VET
10,224.61077476963922,226.42255841396826,VET
11,175.0732023369697,175.11253719521505,VET
12,182.47696464755282,191.53195214682464,VET
13,138.56440936051482,133.3908688166367,OCO
14,163.68888065890764,166.12818421464476,VET
15,148.0086095459774,151.10273288028674,VET
16,208.45718133541124,215.0148595116406,VET
17,226.71439872358914,222.3126988,OCO
18,230.36424930763752,231.1789255120988,VET
19,233.80974461008816,223.28192745101418,OCO
20,139.54691838973548,140.89434202023278,VET
21,134.81196795009757,132.9481641346058,OCO
22,156.66456530835327,169.27169987726833,VET
23,142.34528603120214,144.72457665249837,VET
24,222.10495129295236,223.35215654647345,VET
25,247.7124992,,OCO
