Minisector,LEC,BOR,Fastest
0,269.6220767314286,273.063454228872,BOR
1,298.4594295755032,296.3483473389356,LEC
2,312.6190903727891,309.33855545060266,LEC
3,321.15029179580955,316.08103830316287,LEC
4,324.9005005244435,319.6095555555556,LEC
5,324.3513323660151,321.504375,LEC
6,208.27471053510692,199.4247691319862,LEC
7,108.38477089022898,105.79723102768429,LEC
8,179.7937712417112,187.64008112873134,BOR
9,258.67246358919397,257.3778359360512,LEC
10,288.5097391507003,289.18706104190477,BOR
11,161.83063454636394,171.35740549635648,BOR
12,96.30327085932544,98.94741111790535,BOR
13,110.08722144267053,114.96813084254147,BOR
14,221.2473834752532,222.15911054307568,BOR
15,185.34776656644686,188.75928850113493,BOR
16,225.22781426937044,224.1268653666507,LEC
17,177.63993181704518,182.5533976448267,BOR
18,227.98628662932066,229.00708616780042,BOR
19,276.66796394052403,274.5816176470588,LEC
20,258.8334298129323,247.09188091299978,LEC
21,147.96111690715824,149.34345814902747,BOR
22,95.07138157296761,95.89452074584621,BOR
23,121.73475718036158,122.35950029078413,BOR
24,222.1569148695238,215.85395851594203,LEC
25,,254.91354266666667,BOR
