Minisector,KVY,MAG,Fastest
0,277.6658231872129,277.20869697742927,KVY
1,254.9977899115932,231.4427159888657,KVY
2,268.5412923815416,259.5712973948779,KVY
3,285.9301496368913,279.88613852498435,KVY
4,125.46306586910717,126.77816977605879,MAG
5,207.86569270740492,207.1409491896998,KVY
6,264.8287037037037,266.6153836098513,MAG
7,285.5638945823694,289.2917122221251,MAG
8,295.4770832666667,300.51511192684865,MAG
9,300.10778052976684,304.84909658972657,MAG
10,287.42930751580116,287.72827186824406,MAG
11,101.0309696894762,100.0894470978543,KVY
12,218.35377570655763,217.89793187953654,KVY
13,265.12625028128804,267.02459501491154,MAG
14,272.951852028442,269.1749292212806,KVY
15,131.03852783124267,126.32857760819061,KVY
16,200.77973074540037,196.63864647747295,KVY
17,253.5202995235048,252.3024869952887,KVY
18,260.18594189955115,247.51611197674293,KVY
19,244.3108382727507,238.3040682735137,KVY
20,150.4163146566008,151.84905848039054,MAG
21,184.6679278525962,185.32234955161258,MAG
22,175.29511307887313,162.41992802430536,KVY
23,192.1613803108795,188.79654211578784,KVY
24,249.07201678294413,248.49349562074,KVY
