Minisector,VER,NOR,Fastest
0,242.67975599377584,245.2543014878619,NOR
1,275.53419822282694,280.9810359564384,NOR
2,178.34496132763513,167.1880142485154,VER
3,152.03076328489794,151.207073550628,VER
4,253.38389369309425,255.85633645624668,NOR
5,266.0746402092929,267.0041612770724,NOR
6,232.54493547368622,225.32250002251337,VER
7,205.70967232373204,201.56411788068206,VER
8,157.30343021946928,155.67929457443637,VER
9,220.23253569100925,207.18905086918588,VER
10,266.1027089215133,270.44718790877783,NOR
11,121.39209027349618,122.51320190543674,NOR
12,197.64080515514777,206.01671908981882,NOR
13,265.6917857142857,278.63773774025975,NOR
14,288.77788590453457,312.5108609999287,NOR
15,295.89468252352094,329.23249996235296,NOR
16,240.4190502784774,266.5537522226087,NOR
17,130.26839334865673,124.64384985734941,VER
18,134.74819794070854,129.5204165762816,VER
19,122.27950635432086,121.5487745156825,VER
20,219.1956714907234,223.80552882800814,NOR
21,254.7610052910053,254.0863593057331,VER
22,236.21391168537525,236.48905691170697,NOR
23,213.12551020408162,215.95953479799283,NOR
24,135.38008199766617,135.4004072917157,NOR
25,,210.359372,NOR
