Minisector,HAM,GAS,Fastest
0,271.04141472986,265.45119557023065,HAM
1,249.73970533554268,248.8948838233766,HAM
2,124.58036117825503,118.07919362762733,HAM
3,175.83932379909936,163.99719887899337,HAM
4,200.813192503343,186.16582079238097,HAM
5,198.76083217934064,196.64909825412477,HAM
6,264.16385618217237,262.9821328872727,HAM
7,286.25505738386323,284.7467412123077,HAM
8,234.88474567063164,218.65764091654322,HAM
9,149.39365033133186,139.98910063112456,HAM
10,118.95664355838258,114.97777225560957,HAM
11,149.51837769420953,154.06427097149958,GAS
12,243.8965771750523,241.60992136450216,HAM
13,158.69037526408013,145.34764288667128,HAM
14,149.1027325092495,145.72628739307342,HAM
15,109.0992811330426,107.68205654164042,HAM
16,220.6960269377778,218.02336973328448,HAM
17,239.95374202675617,215.59393188747254,HAM
18,131.02237026913454,129.8181288117216,HAM
19,239.5227546611456,243.55498267917835,GAS
20,275.20825379905705,274.7246737839293,HAM
21,212.0419904234836,186.24191928605399,HAM
22,148.80426376262338,146.0422237679577,HAM
23,217.0637826084022,213.56117427624878,HAM
24,224.24516320792551,227.2980249621305,GAS
25,253.83750080000002,,HAM
