Minisector,PER,VET,Fastest
0,269.52387246547863,270.2652687610214,VET
1,291.6524077035498,288.5133745341799,PER
2,283.4763895163823,271.65751440577196,PER
3,156.73931747887957,153.86911208008877,PER
4,192.30004616097108,188.88685446830345,PER
5,167.8112922816259,167.1196594849123,PER
6,157.3229982556391,155.97117348838879,PER
7,183.28128014943348,186.13029741222263,VET
8,235.24137475566883,235.65013258412696,VET
9,229.35852198772457,230.75618829660613,VET
10,141.34639558919247,141.53168556491437,VET
11,218.3741441611729,211.21121860768048,PER
12,104.43311963228987,109.71539771072669,VET
13,212.7929616336939,201.74981529620138,PER
14,264.9914977004316,259.5425791644445,PER
15,272.9281378937198,271.91797717610393,PER
16,169.79553783015643,178.75426311588558,VET
17,152.1582498030044,150.47514450027407,PER
18,250.0329074333054,247.82015079691197,PER
19,281.2033806714834,276.43658079638743,PER
20,294.56862772298365,288.73558912,PER
21,287.9401655185083,279.878795674489,PER
22,232.3840602748924,249.6062047180759,VET
23,100.17622373091719,97.31165133336553,PER
24,216.44392655069146,207.86764437155836,PER
25,254.520832,255.61428419047618,VET
