Minisector,ALO,GAS,Fastest
0,299.5868653883948,296.74566619887634,ALO
1,243.35014004000598,241.05564304203173,ALO
2,132.5421965414522,128.94811155223158,ALO
3,229.2854608410766,243.83793788678759,GAS
4,191.70286529509298,191.0077345887125,ALO
5,244.59373072298754,241.7784168491413,ALO
6,234.94254979184439,226.63927732684442,ALO
7,256.2880402770881,248.19756969086419,ALO
8,284.07465677963637,282.79098233318683,ALO
9,211.99691318672438,213.54798985770307,GAS
10,208.04073058185728,199.15759459549722,ALO
11,271.3974225252174,268.57627370442935,ALO
12,210.26159003530665,214.7882854209271,GAS
13,251.5499653823129,242.5534704797318,ALO
14,289.12941312574355,285.9561017038684,ALO
15,303.51637290571426,301.95063245714283,ALO
16,299.88990493188214,298.8236655319807,ALO
17,212.31086047353534,216.5124286857206,GAS
18,255.3160158672374,257.8819264014283,GAS
19,291.6758845316306,291.71097979083567,GAS
20,305.2639354424963,303.8609331546968,ALO
21,310.4237500088889,301.179622117764,ALO
22,160.1645153916969,154.5082085762645,ALO
23,232.58110951528565,220.2258414888857,ALO
24,284.6630600759596,281.8773919721739,ALO
25,293.00713874285714,295.2291669333333,GAS
