Minisector,PER,ALO,Fastest
0,288.802869557477,288.5462654352111,PER
1,297.0419124705882,297.72595893045155,ALO
2,174.62730897537304,161.80800101966133,PER
3,220.67725557460315,218.8372161428487,PER
4,272.92811959680756,268.69583091118125,PER
5,292.4114357493858,288.73223161200855,PER
6,299.0104636471178,295.7694762423072,PER
7,185.35210381845403,173.25968851723144,PER
8,124.22095492691845,122.07698981073605,PER
9,247.01345762551972,245.31444735373336,PER
10,282.17910367919796,279.9465645258293,PER
11,291.59517518596493,292.31643531851853,ALO
12,154.24821589479743,147.67448137872762,PER
13,189.7398079624156,185.94427365858024,PER
14,254.81599009477404,254.05753965714285,PER
15,211.47566186835022,198.6489764914441,PER
16,219.8474059946093,204.5517578425343,PER
17,217.35247658057142,206.44920314120213,PER
18,241.34413440014217,236.41218734597368,PER
19,273.29979728423933,272.11437477333334,PER
20,289.01754374736845,289.91362211037375,ALO
21,269.16884989111907,257.5135599048153,PER
22,232.0450839983437,221.8083859510934,PER
23,203.42837714188434,201.35051673757178,PER
24,261.19132731212886,259.6999999854875,PER
