Minisector,VET,NOR,Fastest
0,281.1301180717354,281.3803849287982,NOR
1,219.3243685302471,216.54793137371428,VET
2,113.96207422974771,113.8792361224254,VET
3,202.1458932760172,202.0825710980413,VET
4,175.70228161681413,167.18696100657118,VET
5,225.21148193179772,222.32363525079367,VET
6,278.3191820399568,279.5233390596491,NOR
7,295.04495607017543,297.5671453674309,NOR
8,175.75757292429935,163.83593159480517,VET
9,126.83370734119481,122.51845947151173,VET
10,137.05130322517732,138.13796114459217,NOR
11,199.25806610415165,205.56505703280422,NOR
12,212.37596344615383,201.71299538546398,VET
13,131.8857957733333,131.2553462008124,VET
14,147.38985220586844,129.8632113134538,VET
15,128.80701794160026,149.59306371593223,NOR
16,258.01145141399934,261.0992597509131,NOR
17,138.51295468279162,131.608478988462,VET
18,206.99049785904762,211.96620020663758,NOR
19,137.2506381641237,127.59051325257829,VET
20,145.01581319607135,141.15311865135837,VET
21,128.22341203004257,125.74220739772417,VET
22,151.0146057211519,164.2848725598251,NOR
23,220.2628411270073,216.29526266666667,VET
24,238.18042514608197,243.38481299570054,NOR
25,267.27499946666666,,VET
