Minisector,NOR,PER,Fastest
0,306.72548261351227,307.35356447411147,PER
1,308.03273700392157,313.30234469467786,PER
2,157.90196212571385,162.13814438941068,PER
3,230.32560933333335,228.27796994395408,NOR
4,285.86186896906867,284.0436604255178,NOR
5,312.5110264454188,307.3446762666667,NOR
6,317.9813724235294,312.50857838431375,NOR
7,162.11708404400724,164.1491787506902,PER
8,138.9958343063063,135.58732364169012,NOR
9,250.20740423645103,259.02107242666665,PER
10,285.5026787301588,296.688993981338,PER
11,291.9230426101824,299.1015667089566,PER
12,147.2589967361325,142.046626306836,NOR
13,201.36694580763395,203.07408969774713,PER
14,257.88439428684205,263.70187546666665,PER
15,203.43016928395062,204.90654055844257,PER
16,229.93200716511802,224.9619745154962,NOR
17,223.41014391746032,217.7119857123129,NOR
18,251.11243315596735,248.01354076874097,NOR
19,276.9950387989376,279.02675497543856,PER
20,288.60745616842104,293.1473756152156,PER
21,257.5371877877551,265.5820962728692,PER
22,220.41051877240398,225.73700654052777,PER
23,213.73919538818046,209.7904796256441,NOR
24,269.2498252184418,274.83625369977324,PER
25,,295.3750016,PER
