Minisector,NOR,SAI,Fastest
0,261.43471986571427,266.85624148002086,SAI
1,137.26716924461698,135.96765473458822,NOR
2,204.06504139174604,202.33989017415894,NOR
3,249.06726592101586,245.3178914185695,NOR
4,258.70380169329286,260.56562572444443,SAI
5,181.4441351695238,180.97335966791533,NOR
6,157.13789951301126,154.50057629289034,NOR
7,194.14020743472682,191.96239683865883,NOR
8,107.80194275138942,106.02700652333836,NOR
9,74.9008318690053,69.27897862754507,NOR
10,96.69577175041796,97.82649462012762,SAI
11,186.2637356379824,186.06311956902357,NOR
12,250.0115560391111,245.79664864668104,NOR
13,271.6505372685981,268.8143412114286,NOR
14,285.0679167827552,279.2922984565657,NOR
15,109.44098527034922,109.2131992186324,NOR
16,155.42655464498037,158.3279273696996,SAI
17,188.09187277034025,190.15989729585877,SAI
18,208.20487481400562,206.33087115412772,NOR
19,223.6178671514074,216.8575080754401,NOR
20,146.20897148713817,142.74099950855665,NOR
21,111.5486588148157,108.00251377670651,NOR
22,105.10516563800404,108.49687777910313,SAI
23,204.79994988395123,205.3870420010372,SAI
24,258.2162166933333,252.00620200542568,NOR
25,266.8750034285714,,NOR
