Minisector,HAM,RIC,Fastest
0,291.9083333818182,302.2159420753623,RIC
1,292.90905794782606,302.89903628480727,RIC
2,267.4339973973333,248.31543047901235,HAM
3,161.92291939206302,156.34823141897238,HAM
4,180.89919215140708,171.9032102970271,HAM
5,216.8813874350516,215.1360424711111,HAM
6,245.9981954551547,238.23126154360313,HAM
7,219.72554497393807,213.65374029817693,HAM
8,268.9870493626389,264.4634973415685,HAM
9,266.4811366854543,259.6518846655567,HAM
10,275.6572549714286,272.4916669681159,HAM
11,276.950901897898,270.16324997333334,HAM
12,273.1481189241905,271.8332589650794,HAM
13,273.95145020289857,269.2236546779389,HAM
14,190.47799165513368,182.1483135026455,HAM
15,236.11260868727933,236.68593212175253,RIC
16,218.35712337987314,207.96399623963134,HAM
17,172.23545729400155,167.65070117600362,HAM
18,255.68919845925925,253.52708426666666,HAM
19,283.6646035911306,285.23672212595613,RIC
20,264.86583055589347,258.243830528,HAM
21,193.23299132281267,186.70021255213038,HAM
22,252.742699643081,253.50497693866666,RIC
23,277.9505066414871,282.30636397424115,RIC
24,289.16371524444446,297.0092804363636,RIC
25,,301.0,RIC
